Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Equilibre TCS moyen,Cadence de course moyenne,Cadence de course maximale,Training Stress Score® (TSS®),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de mouvements,SWOLF moyen,Fréquence moy. des coups,Total des répétitions,Total des sessions,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de circuits,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Course à pied,2023-02-09 17:40:25,false,"Dompierre-sur-Yon Course à pied","11.74","896","01:00:09","162","197","4.0","168","190","5:07","3:23","73","73","1.15","9.4","10.7","256","49.4% G / 50.6% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","Non","04:04.37.4","12","24.0","32","20","45","01:00:03","01:00:09","60","88"
Course à pied,2023-02-08 15:35:25,false,"Dompierre-sur-Yon - Base","7.16","535","00:38:10","154","176","3.1","168","178","5:20","4:10","52","51","1.12","9.5","10.8","259","49.2% G / 50.8% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","Non","00:52.07.4","8","26.0","27","15","40","00:38:07","00:38:10","62","90"
Course à pied,2023-02-07 17:40:00,false,"Dompierre-sur-Yon Course à pied","7.88","603","00:41:01","162","197","3.4","166","191","5:12","3:04","58","60","1.14","9.3","10.6","265","49.3% G / 50.8% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","12.0","0:00","Non","04:05.23.3","8","25.0","34","19","44","00:40:59","00:41:01","58","87"
Course à pied,2023-02-06 15:37:55,false,"Dompierre-sur-Yon Course à pied","7.48","563","00:40:31","153","170","3.0","167","174","5:25","4:54","42","42","1.10","9.5","10.7","264","49.3% G / 50.7% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","Non","02:32.78.1","8","25.0","30","19","37","00:40:29","00:40:31","69","87"
Course à pied,2023-02-04 15:32:07,false,"Dompierre-sur-Yon Course à pied","7.01","505","00:38:31","145","161","2.6","168","172","5:29","4:56","42","42","1.09","9.9","10.9","260","49.0% G / 51.0% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","Non","00:04.66.3","8","26.0","24","16","34","00:38:29","00:38:31","69","85"
Cyclisme,2023-01-31 13:09:42,false,"La Roche-sur-Yon Cyclisme","8.10","301","00:21:41","148","168","2.5","0","0","22.4","42.9","98","84","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","Non","00:18.51.3","9","19.0","34","21","41","00:21:19","00:21:41","59","86"
Course à pied,2023-01-31 12:03:24,false,"La Roche-sur-Yon - VMA : 2x(6x300m) @100% VMA r:100","10.00","812","00:59:02","157","197","3.8","154","202","5:54","2:53","60","57","1.08","9.4","9.6","276","49.2% G / 50.8% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","Non","00:02.57.5","32","21.0","30","18","44","00:55:24","00:59:02","65","76"
Cyclisme,2023-01-31 11:37:49,false,"Dompierre-sur-Yon Cyclisme","8.37","277","00:21:18","144","163","2.3","0","0","23.6","41.1","76","89","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","01:41.41.3","9","25.0","30","20","36","00:20:17","00:21:18","58","85"
Course à pied,2023-01-30 15:43:04,false,"Dompierre-sur-Yon Course à pied","8.23","599","00:43:50","149","173","3.0","169","180","5:19","4:23","40","42","1.11","9.6","10.8","257","49.2% G / 50.8% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","12.0","0:00","Non","01:16.62.5","9","26.0","26","18","37","00:43:48","00:43:50","62","88"
En piscine,2023-01-28 10:12:31,false,"En piscine","1,500","355","00:43:08","129","170","2.5","0","0","1:59","1:44","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","730","84","25","0","--","0:00","0.0","0:00","Non","00:07.31.7","34","0.0","--","--","--","00:29:41","00:44:12","--","--"
