Type d'activité,Date,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Longueur moyenne des foulées,Temps de contact moyen avec le sol
Course à pied,2023-02-09 17:40:25,11.74,896,60.15,162,197,168,190,5.116666666666666,3.3833333333333333,1.15,256
Course à pied,2023-02-08 15:35:25,7.16,535,38.166666666666664,154,176,168,178,5.333333333333333,4.166666666666667,1.12,259
Course à pied,2023-02-07 17:40:00,7.88,603,41.016666666666666,162,197,166,191,5.2,3.066666666666667,1.14,265
Course à pied,2023-02-06 15:37:55,7.48,563,40.516666666666666,153,170,167,174,5.416666666666667,4.9,1.1,264
Course à pied,2023-02-04 15:32:07,7.01,505,38.516666666666666,145,161,168,172,5.483333333333333,4.933333333333334,1.09,260
Course à pied,2023-01-31 12:03:24,10.0,812,59.03333333333333,157,197,154,202,5.9,2.8833333333333333,1.08,276
Course à pied,2023-01-30 15:43:04,8.23,599,43.833333333333336,149,173,169,180,5.316666666666666,4.383333333333334,1.11,257
Course à pied,2023-01-27 15:11:05,7.13,520,38.61666666666667,147,176,168,175,5.416666666666667,4.166666666666667,1.1,262
Course à pied,2023-01-26 10:53:25,10.58,817,63.95,149,191,154,191,6.05,3.4333333333333336,1.05,275
Course à pied,2023-01-24 15:47:35,7.68,563,48.0,136,153,164,168,6.25,5.516666666666667,0.97,278
Course à pied,2023-01-23 11:02:29,7.5,538,43.56666666666667,138,167,167,193,5.816666666666666,3.283333333333333,1.03,263
Course à pied,2023-01-22 16:08:33,11.46,828,60.13333333333333,153,182,170,185,5.25,4.1,1.12,260
Course à pied,2023-01-20 10:55:51,11.45,886,65.25,154,194,160,190,5.7,3.4,1.07,273
Course à pied,2023-01-19 10:05:40,7.93,582,45.85,137,156,166,171,5.783333333333333,5.25,1.04,269
Course à pied,2023-01-17 11:10:58,11.29,910,67.43333333333334,152,192,159,197,5.966666666666667,2.95,1.03,274
Course à pied,2023-01-16 10:35:28,6.86,511,40.55,138,151,167,173,5.9,5.066666666666666,1.02,267
Course à pied,2023-01-13 09:03:55,12.32,949,71.85,153,197,159,195,5.833333333333333,3.183333333333333,1.06,268
Course à pied,2023-01-12 15:47:50,4.29,332,24.1,149,169,165,184,5.616666666666667,4.8,1.08,267
Course à pied,2023-01-10 10:48:54,10.35,835,64.08333333333333,150,199,156,198,6.2,2.533333333333333,1.02,277
Course à pied,2023-01-09 10:22:16,7.08,524,40.31666666666667,137,154,165,188,5.7,4.9,1.06,262
Course à pied,2023-01-06 10:43:32,11.43,901,66.9,150,194,158,192,5.85,2.95,1.06,277
Course à pied,2023-01-05 10:53:26,7.9,592,44.56666666666667,141,161,165,171,5.65,5.0,1.07,262
Course à pied,2023-01-03 10:47:04,8.47,680,53.833333333333336,145,197,156,201,6.35,2.8166666666666664,1.0,287
Course à pied,2023-01-02 15:29:16,7.48,548,40.416666666666664,140,158,169,174,5.4,4.85,1.1,256
Course à pied,2022-12-26 11:33:38,15.0,1185,83.38333333333334,148,177,168,241,5.55,3.7,1.07,254
Course à pied,2022-12-25 11:46:55,8.24,663,47.56666666666667,148,167,165,199,5.766666666666667,3.716666666666667,1.05,268
Course à pied,2022-12-24 17:44:14,0.32,25,1.75,138,150,153,172,5.433333333333334,4.816666666666666,1.2,0
Course à pied,2022-12-24 11:11:36,1.73,122,9.833333333333334,124,139,165,177,5.683333333333334,4.583333333333333,1.06,274
Course à pied,2022-12-21 10:37:32,1.28,97,7.616666666666667,144,154,165,172,5.933333333333334,5.233333333333333,1.02,0
Course à pied,2022-12-20 10:10:20,15.25,1279,85.23333333333333,149,174,166,201,5.583333333333333,4.016666666666667,1.08,0
Course à pied,2022-12-19 15:28:35,10.44,849,57.81666666666667,158,179,166,187,5.533333333333333,3.6833333333333336,1.09,0
Course à pied,2022-12-17 14:54:39,12.56,941,65.65,152,186,169,182,5.233333333333333,3.9166666666666665,1.13,258
Course à pied,2022-12-16 16:43:21,11.23,843,63.38333333333333,147,187,161,192,5.65,3.1,1.09,274
Course à pied,2022-12-14 16:58:59,6.39,471,37.75,133,154,162,201,5.916666666666667,4.05,1.03,273
Course à pied,2022-12-13 16:38:14,8.82,674,49.516666666666666,151,192,166,192,5.616666666666667,3.1666666666666665,1.08,273
