Type d'activité,Date,Distance,Calories,Durée,Nombre total de mouvements,SWOLF moyen,Fréquence moy. des coups,Temps de déplacement,Nombre de circuits
En piscine,2023-01-28 10:12:31,1500,355,43.13333333333333,730,84,25,29.683333333333334,34
En piscine,2023-01-25 14:11:49,1700,327,48.516666666666666,675,83,24,33.46666666666667,43
En piscine,2023-01-21 10:17:04,1500,274,46.3,579,81,25,28.633333333333333,27
En piscine,2023-01-18 14:13:19,1700,394,49.266666666666666,826,82,25,32.516666666666666,38
En piscine,2023-01-14 10:14:47,1700,389,50.38333333333333,839,82,26,32.416666666666664,34
En piscine,2023-01-12 11:42:33,1500,355,50.68333333333333,726,81,26,28.416666666666668,42
En piscine,2023-01-04 14:27:31,1500,360,50.43333333333333,724,82,25,28.716666666666665,42
En piscine,2022-12-17 10:20:38,2250,540,64.7,1029,79,25,41.71666666666667,51
En piscine,2022-12-07 14:10:39,2000,450,58.2,926,81,25,37.21666666666667,46
En piscine,2022-12-03 10:15:33,1950,439,56.11666666666667,979,84,26,38.38333333333333,34
En piscine,2022-11-30 14:14:45,2000,457,57.5,968,83,25,39.06666666666667,48
En piscine,2022-11-26 10:14:11,2150,481,59.916666666666664,1027,82,25,41.4,34
En piscine,2022-11-23 14:10:14,2000,457,57.45,960,83,24,39.333333333333336,44
En piscine,2022-11-05 10:09:31,2500,556,66.78333333333333,1275,86,25,50.766666666666666,32
En piscine,2022-11-02 15:18:59,2400,533,61.53333333333333,1235,86,26,48.38333333333333,28
En piscine,2022-10-29 10:15:33,2400,534,61.55,1279,88,26,48.85,26
En piscine,2022-10-26 15:29:45,1900,423,54.55,968,87,25,38.81666666666667,36
En piscine,2022-10-19 15:02:05,1800,405,53.85,953,88,26,36.93333333333333,38
En piscine,2022-10-15 10:18:54,2000,451,55.15,1065,89,26,41.4,28
En piscine,2022-10-08 10:11:15,2600,577,66.93333333333334,1373,88,26,53.18333333333333,28
En piscine,2022-10-06 11:27:08,2200,407,62.45,927,87,25,36.88333333333333,32
En piscine,2022-09-28 15:35:53,2700,628,75.61666666666666,1369,88,24,55.93333333333333,40
En piscine,2022-09-21 15:06:32,2000,453,54.416666666666664,960,83,25,39.016666666666666,32
En piscine,2022-09-17 10:18:45,1550,370,47.7,716,80,24,29.433333333333334,48
En piscine,2022-08-23 10:51:28,400,96,11.666666666666666,174,74,25,6.933333333333334,13
En piscine,2022-07-27 10:24:12,1650,407,55.25,790,81,25,31.616666666666667,46
En piscine,2022-07-23 10:23:08,1350,313,47.18333333333333,625,79,25,25.266666666666666,32
En piscine,2022-07-09 10:33:31,1300,324,43.25,544,74,24,23.016666666666666,41
En piscine,2022-06-25 10:20:30,1850,470,62.05,795,76,24,33.46666666666667,53
En piscine,2022-06-11 10:40:09,1400,347,58.21666666666667,654,80,25,26.6,60
En piscine,2022-04-15 13:38:44,500,121,31.266666666666666,305,50,26,11.55,4
En piscine,2022-04-03 15:09:13,100,28,2.9166666666666665,46,42,23,2.0166666666666666,4
En piscine,2022-03-19 11:19:42,1800,463,56.71666666666667,832,81,24,34.56666666666667,54
En piscine,2022-03-13 15:04:28,1200,310,41.38333333333333,608,42,25,23.85,27
En piscine,2022-03-05 10:27:06,1500,349,49.05,684,78,25,27.75,56
En piscine,2022-02-16 11:03:14,1600,366,51.55,732,78,25,29.583333333333332,46
En piscine,2022-01-29 10:18:23,2000,477,60.65,904,79,24,37.28333333333333,49
En piscine,2022-01-14 12:17:34,1750,408,62.93333333333333,762,76,24,31.45,49
En piscine,2022-01-12 16:21:09,2000,450,64.0,1007,87,24,41.4,34
En piscine,2022-01-11 12:23:13,1800,402,56.65,898,87,24,37.05,43
En piscine,2022-01-08 10:22:44,2200,494,71.56666666666666,1077,86,24,45.416666666666664,48
En piscine,2022-01-06 17:40:47,1850,416,74.21666666666667,892,88,22,39.68333333333333,56
En piscine,2022-01-05 16:08:49,1600,355,65.85,827,91,24,34.78333333333333,56
En piscine,2022-01-04 17:39:09,1450,326,54.63333333333333,636,80,23,28.166666666666668,52
En piscine,2021-12-24 11:14:34,1850,414,63.38333333333333,1008,94,24,41.46666666666667,36
En piscine,2021-12-23 17:19:26,1850,409,56.55,958,90,24,39.46666666666667,30
En piscine,2021-12-21 15:26:17,1750,398,63.166666666666664,869,44,25,35.03333333333333,33
En piscine,2021-12-18 10:35:40,2200,490,63.71666666666667,1075,87,24,45.666666666666664,34
En piscine,2021-12-17 12:10:46,1900,429,70.13333333333334,855,85,22,39.35,68
En piscine,2021-12-15 16:28:59,1700,390,64.23333333333333,747,81,22,33.65,68
En piscine,2021-12-14 12:15:14,1350,302,58.06666666666667,585,82,22,27.116666666666667,56
En piscine,2021-12-09 10:43:42,1000,221,52.483333333333334,469,82,24,19.35,34
En piscine,2021-12-07 12:09:26,950,217,47.6,409,76,24,17.35,26
En piscine,2021-11-20 10:19:10,950,240,46.35,494,94,23,21.483333333333334,38
